question_id,article_id,overall_score,passed,checks_passed,checks_total,grammatical_parallel,plausibility,homogeneity,specificity_balance,standard_alignment,clarity_precision,single_correct_answer,passage_reference,length_check,too_close,difficulty_assessment
quiz_302005,article_101001,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302005_sibling_1,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_2,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_3,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302005_sibling_4,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302006,article_101001,0.9090909090909091,True,10,11,0,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_1,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_2,article_101001,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302006_sibling_3,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302006_sibling_4,article_101001,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302007,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_1,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_2,article_101001,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302007_sibling_3,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302007_sibling_4,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302008,article_101001,0.9090909090909091,True,10,11,0,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_1,article_101001,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302008_sibling_2,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_3,article_101001,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302008_sibling_4,article_101001,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302013,article_101002,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_1,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_2,article_101002,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302013_sibling_3,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302013_sibling_4,article_101002,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302014,article_101002,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302014_sibling_1,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302014_sibling_2,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302014_sibling_3,article_101002,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302014_sibling_4,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302015,article_101002,0.7272727272727273,False,8,11,1,0,0,1,0,1,1,1,1,1,1
quiz_302015_sibling_1,article_101002,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302015_sibling_2,article_101002,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302015_sibling_3,article_101002,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302015_sibling_4,article_101002,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302016,article_101002,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302016_sibling_1,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_2,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_3,article_101002,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302016_sibling_4,article_101002,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302021,article_101003,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_1,article_101003,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_2,article_101003,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302021_sibling_3,article_101003,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302021_sibling_4,article_101003,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302022,article_101003,0.8181818181818182,True,9,11,0,1,1,1,1,1,1,1,0,1,1
quiz_302022_sibling_1,article_101003,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302022_sibling_2,article_101003,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302022_sibling_3,article_101003,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302022_sibling_4,article_101003,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302023,article_101003,0.8181818181818182,True,9,11,0,0,1,1,1,1,1,1,1,1,1
quiz_302023_sibling_1,article_101003,0.9090909090909091,True,10,11,0,1,1,1,1,1,1,1,1,1,1
quiz_302023_sibling_2,article_101003,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302023_sibling_3,article_101003,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302023_sibling_4,article_101003,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302024,article_101003,0.6363636363636364,False,7,11,1,0,0,0,1,1,1,1,0,1,1
quiz_302024_sibling_1,article_101003,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302024_sibling_2,article_101003,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302024_sibling_3,article_101003,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302024_sibling_4,article_101003,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302037,article_101005,0.9090909090909091,True,10,11,1,1,1,1,1,1,0,1,1,1,1
quiz_302037_sibling_1,article_101005,0.8181818181818182,True,9,11,1,1,1,1,1,0,0,1,1,1,1
quiz_302037_sibling_2,article_101005,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302037_sibling_3,article_101005,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302037_sibling_4,article_101005,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302038,article_101005,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302038_sibling_1,article_101005,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,0,1,1
quiz_302038_sibling_2,article_101005,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302038_sibling_3,article_101005,0.8181818181818182,True,9,11,1,1,1,1,0,0,1,1,1,1,1
quiz_302038_sibling_4,article_101005,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302039,article_101005,0.8181818181818182,True,9,11,1,0,1,1,0,1,1,1,1,1,1
quiz_302039_sibling_1,article_101005,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302039_sibling_2,article_101005,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302039_sibling_3,article_101005,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,0,1,1
quiz_302039_sibling_4,article_101005,0.8181818181818182,True,9,11,1,0,1,1,0,1,1,1,1,1,1
quiz_302040,article_101005,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302040_sibling_1,article_101005,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_2,article_101005,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_3,article_101005,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_4,article_101005,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302041,article_101005,0.7272727272727273,False,8,11,1,0,1,1,0,1,1,1,0,1,1
quiz_302041_sibling_1,article_101005,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,0,1,1
quiz_302041_sibling_2,article_101005,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302041_sibling_3,article_101005,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302041_sibling_4,article_101005,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302029,article_101004,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302029_sibling_1,article_101004,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302029_sibling_2,article_101004,0.8181818181818182,True,9,11,1,1,1,1,1,1,0,1,1,1,0
quiz_302029_sibling_3,article_101004,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,0,1
quiz_302029_sibling_4,article_101004,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302030,article_101004,0.8181818181818182,True,9,11,1,1,1,1,1,1,0,1,0,1,1
quiz_302030_sibling_1,article_101004,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302030_sibling_2,article_101004,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302030_sibling_3,article_101004,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302030_sibling_4,article_101004,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302031,article_101004,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302031_sibling_1,article_101004,0.9090909090909091,True,10,11,0,1,1,1,1,1,1,1,1,1,1
quiz_302031_sibling_2,article_101004,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302031_sibling_3,article_101004,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302031_sibling_4,article_101004,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302032,article_101004,0.7272727272727273,False,8,11,1,0,1,1,0,1,1,1,0,1,1
quiz_302032_sibling_1,article_101004,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302032_sibling_2,article_101004,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302032_sibling_3,article_101004,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302032_sibling_4,article_101004,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302046,article_101006,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302046_sibling_1,article_101006,0.8181818181818182,True,9,11,1,1,1,1,1,1,0,1,1,0,1
quiz_302046_sibling_2,article_101006,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302046_sibling_3,article_101006,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302046_sibling_4,article_101006,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302047,article_101006,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,0,1,1
quiz_302047_sibling_1,article_101006,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302047_sibling_2,article_101006,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302047_sibling_3,article_101006,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302047_sibling_4,article_101006,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302048,article_101006,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_1,article_101006,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_2,article_101006,0.8181818181818182,True,9,11,1,0,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_3,article_101006,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_4,article_101006,0.8181818181818182,True,9,11,1,1,1,1,0,1,0,1,1,1,1
quiz_302049,article_101006,0.8181818181818182,True,9,11,1,0,1,1,0,1,1,1,1,1,1
quiz_302049_sibling_1,article_101006,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302049_sibling_2,article_101006,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302049_sibling_3,article_101006,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,0,1,1
quiz_302049_sibling_4,article_101006,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302054,article_101007,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302054_sibling_1,article_101007,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302054_sibling_2,article_101007,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302054_sibling_3,article_101007,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302054_sibling_4,article_101007,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302055,article_101007,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302055_sibling_1,article_101007,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302055_sibling_2,article_101007,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302055_sibling_3,article_101007,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302055_sibling_4,article_101007,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302056,article_101007,0.7272727272727273,False,8,11,1,0,1,0,1,1,1,1,0,1,1
quiz_302056_sibling_1,article_101007,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302056_sibling_2,article_101007,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302056_sibling_3,article_101007,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302056_sibling_4,article_101007,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302057,article_101007,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302057_sibling_1,article_101007,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302057_sibling_2,article_101007,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302057_sibling_3,article_101007,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302057_sibling_4,article_101007,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,1,1,0
quiz_302058,article_101007,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302058_sibling_1,article_101007,0.9090909090909091,True,10,11,1,1,1,1,1,1,0,1,1,1,1
quiz_302058_sibling_2,article_101007,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302058_sibling_3,article_101007,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302058_sibling_4,article_101007,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302062,article_101008,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302062_sibling_1,article_101008,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302062_sibling_2,article_101008,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302062_sibling_3,article_101008,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302062_sibling_4,article_101008,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302063,article_101008,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302063_sibling_1,article_101008,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302063_sibling_2,article_101008,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302063_sibling_3,article_101008,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302063_sibling_4,article_101008,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302064,article_101008,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302064_sibling_1,article_101008,0.8181818181818182,True,9,11,1,0,1,1,0,1,1,1,1,1,1
quiz_302064_sibling_2,article_101008,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302064_sibling_3,article_101008,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302064_sibling_4,article_101008,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302065,article_101008,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302065_sibling_1,article_101008,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302065_sibling_2,article_101008,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,0,1,1
quiz_302065_sibling_3,article_101008,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302065_sibling_4,article_101008,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302070,article_101009,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302070_sibling_1,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302070_sibling_2,article_101009,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302070_sibling_3,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302070_sibling_4,article_101009,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302071,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302071_sibling_1,article_101009,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302071_sibling_2,article_101009,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302071_sibling_3,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302071_sibling_4,article_101009,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302072,article_101009,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302072_sibling_1,article_101009,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302072_sibling_2,article_101009,0.8181818181818182,True,9,11,1,1,1,1,1,1,1,1,0,1,0
quiz_302072_sibling_3,article_101009,0.8181818181818182,True,9,11,1,1,1,1,0,1,1,1,1,1,0
quiz_302072_sibling_4,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302073,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302073_sibling_1,article_101009,0.8181818181818182,True,9,11,1,0,1,1,1,1,1,1,0,1,1
quiz_302073_sibling_2,article_101009,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302073_sibling_3,article_101009,0.9090909090909091,True,10,11,1,1,1,1,0,1,1,1,1,1,1
quiz_302073_sibling_4,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302074,article_101009,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302074_sibling_1,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302074_sibling_2,article_101009,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302074_sibling_3,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302074_sibling_4,article_101009,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302087,article_101011,0.9090909090909091,True,10,11,0,1,1,1,1,1,1,1,1,1,1
quiz_302087_sibling_1,article_101011,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302087_sibling_2,article_101011,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302087_sibling_3,article_101011,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,0,1,1
quiz_302087_sibling_4,article_101011,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302088,article_101011,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302088_sibling_1,article_101011,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302088_sibling_2,article_101011,0.9090909090909091,True,10,11,1,0,1,1,1,1,1,1,1,1,1
quiz_302088_sibling_3,article_101011,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302088_sibling_4,article_101011,0.9090909090909091,True,10,11,1,1,1,1,1,1,1,1,1,1,0
quiz_302089,article_101011,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302089_sibling_1,article_101011,1.0,True,11,11,1,1,1,1,1,1,1,1,1,1,1
quiz_302089_sibling_2,article_101011,0.7272727272727273,False,8,11,1,0,0,1,1,1,1,1,0,1,1
