question_id,score,status,01_correctness_explanation,02_textual_evidence,03_skill_reinforcement,04_specific_error,05_misconception_diagnosis,06_textual_refutation,07_correct_guidance,08_actionable_strategy,09_reasoning_model,10_tone,11_conciseness,12_grade_appropriateness
guiding_21014_302001_sibling_1,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21014_302001_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21014_302001_sibling_1,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21014_302001_sibling_1,56%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21015_302002_sibling_1,56%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21015_302002_sibling_1,56%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21015_302002_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21015_302002_sibling_1,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21016_302003_sibling_1,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21016_302003_sibling_1,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21016_302003_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21016_302003_sibling_1,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21017_302004_sibling_1,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21017_302004_sibling_1,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21017_302004_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
guiding_21017_302004_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_1,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_1,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_1,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_2,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_2,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_2,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_3,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_3,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_3,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_3,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_4,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_4,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_4,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302005_sibling_4,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_1,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_1,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_2,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_2,56%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_3,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_3,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_3,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_3,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_4,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_4,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_4,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302006_sibling_4,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_1,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_1,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_1,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_2,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_2,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_2,44%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_2,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_3,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_3,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_3,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_3,67%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_4,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_4,56%,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_4,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302007_sibling_4,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_1,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_1,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_2,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_3,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_3,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_3,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_3,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_4,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_4,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_4,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_4,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
