question_id,score,status,passed,total,actionable_strategy,conciseness,correct_guidance,correctness_explanation,grade_appropriateness,misconception_diagnosis,reasoning_model,skill_reinforcement,specific_error,textual_evidence,textual_refutation,tone
guiding_21014_302001,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21014_302001,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
guiding_21014_302001,89%,✅,8,9,✅,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
guiding_21014_302001,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21014_302001_sibling_1,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
guiding_21014_302001_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21014_302001_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21014_302001_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21015_302002,89%,✅,8,9,✅,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
guiding_21015_302002,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21015_302002,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21015_302002,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
guiding_21015_302002_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21015_302002_sibling_1,67%,❌,6,9,✅,✅,❌,❌,✅,❌,❌,❌,✅,❌,✅,✅
guiding_21015_302002_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21015_302002_sibling_1,67%,❌,4,6,❌,✅,❌,❌,✅,❌,❌,✅,❌,❌,❌,✅
guiding_21016_302003,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21016_302003,78%,✅,7,9,✅,✅,✅,❌,✅,❌,✅,❌,✅,❌,❌,✅
guiding_21016_302003,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
guiding_21016_302003,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21016_302003_sibling_1,89%,✅,8,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
guiding_21016_302003_sibling_1,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
guiding_21016_302003_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21016_302003_sibling_1,89%,✅,8,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
guiding_21017_302004,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21017_302004,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21017_302004,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
guiding_21017_302004,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21017_302004_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
guiding_21017_302004_sibling_1,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
guiding_21017_302004_sibling_1,89%,✅,8,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
guiding_21017_302004_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302005,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_1,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302005_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_1,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302005_sibling_2,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302005_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_2,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_3,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302005_sibling_3,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_3,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_3,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_4,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302005_sibling_4,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_4,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_4,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006,67%,❌,4,6,❌,✅,❌,❌,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302006,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006,78%,✅,7,9,✅,✅,✅,❌,✅,❌,✅,❌,✅,❌,❌,✅
quiz_302006,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_1,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302006_sibling_1,78%,✅,7,9,❌,❌,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_1,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_2,67%,❌,4,6,❌,✅,❌,❌,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302006_sibling_2,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_2,89%,✅,8,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302006_sibling_2,67%,❌,6,9,❌,✅,✅,❌,✅,❌,❌,❌,✅,❌,✅,✅
quiz_302006_sibling_3,50%,❌,3,6,❌,✅,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅
quiz_302006_sibling_3,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_3,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_3,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_4,67%,❌,4,6,❌,✅,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅
quiz_302006_sibling_4,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_4,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_4,67%,❌,6,9,❌,✅,✅,❌,✅,❌,❌,❌,✅,❌,✅,✅
quiz_302007,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302007,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_1,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302007_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_1,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_1,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302007_sibling_2,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302007_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_2,78%,✅,7,9,❌,❌,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_3,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302007_sibling_3,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302007_sibling_3,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_3,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_4,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302007_sibling_4,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_4,89%,✅,8,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302007_sibling_4,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302008,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_1,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302008_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_1,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_2,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302008_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_3,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302008_sibling_3,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_3,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_3,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_4,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302008_sibling_4,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_4,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_4,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
